iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,"Feb 11, 2026",,,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,,,,
Shares Outstanding,"47,500,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
MCK,MCKESSON CORP,Health Care,Equity,"33,515,113.59",0.18,"33,515,113.59","35,161.00",953.19,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"33,214,353.64",0.18,"33,214,353.64","72,011.00",461.24,United States,NASDAQ,USD,1.00,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"33,098,935.04",0.18,"33,098,935.04","84,704.00",390.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"32,801,552.00",0.18,"32,801,552.00","1,009,900.00",32.48,United States,NASDAQ,USD,1.00,USD,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"31,519,565.28",0.17,"31,519,565.28","317,994.00",99.12,United States,NASDAQ,USD,1.00,USD,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"31,165,525.76",0.17,"31,165,525.76","472,778.00",65.92,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
INTU,INTUIT INC,Information Technology,Equity,"30,600,266.40",0.16,"30,600,266.40","76,560.00",399.69,United States,NASDAQ,USD,1.00,USD,-
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"30,490,697.07",0.16,"30,490,697.07","66,747.00",456.81,United States,NASDAQ,USD,1.00,USD,-
CME,CME GROUP INC CLASS A,Financials,Equity,"30,437,050.00",0.16,"30,437,050.00","100,625.00",302.48,United States,NASDAQ,USD,1.00,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"30,410,702.40",0.16,"30,410,702.40","413,920.00",73.47,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"30,035,002.20",0.16,"30,035,002.20","116,795.00",257.16,United States,NASDAQ,USD,1.00,USD,-
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"29,320,634.46",0.16,"29,320,634.46","62,049.00",472.54,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"29,030,606.56",0.16,"29,030,606.56","288,632.00",100.58,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GLW,CORNING INC,Information Technology,Equity,"28,948,676.70",0.15,"28,948,676.70","217,823.00",132.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"28,729,144.52",0.15,"28,729,144.52","69,092.00",415.81,United States,NASDAQ,USD,1.00,USD,-
TMUS,T MOBILE US INC,Communication,Equity,"28,214,770.54",0.15,"28,214,770.54","134,651.00",209.54,United States,NASDAQ,USD,1.00,USD,-
SO,SOUTHERN,Utilities,Equity,"27,972,341.32",0.15,"27,972,341.32","307,862.00",90.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BX,BLACKSTONE INC,Financials,Equity,"27,661,790.97",0.15,"27,661,790.97","207,251.00",133.47,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"27,162,891.20",0.15,"27,162,891.20","216,956.00",125.20,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CVS,CVS HEALTH CORP,Health Care,Equity,"27,005,137.50",0.14,"27,005,137.50","350,625.00",77.02,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"26,923,456.66",0.14,"26,923,456.66","26,923,457.00",1.00,United States,-,USD,1.00,USD,-
VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity,"26,326,900.89",0.14,"26,326,900.89","105,939.00",248.51,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
FCX,FREEPORT MCMORAN INC,Materials,Equity,"26,297,507.64",0.14,"26,297,507.64","401,734.00",65.46,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"26,115,909.40",0.14,"26,115,909.40","110,905.00",235.48,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,"26,021,998.14",0.14,"26,021,998.14","95,061.00",273.74,United States,NASDAQ,USD,1.00,USD,-
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"25,982,167.50",0.14,"25,982,167.50","112,550.00",230.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,"25,946,648.16",0.14,"25,946,648.16","184,071.00",140.96,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"25,814,547.24",0.14,"25,814,547.24","38,028.00",678.83,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MMM,3M,Industrials,Equity,"25,715,413.05",0.14,"25,715,413.05","148,773.00",172.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
USB,US BANCORP,Financials,Equity,"25,693,883.60",0.14,"25,693,883.60","435,785.00",58.96,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"24,713,160.00",0.13,"24,713,160.00","205,943.00",120.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"24,688,320.61",0.13,"24,688,320.61","113,473.00",217.57,United States,NASDAQ,USD,1.00,USD,-
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"24,544,423.12",0.13,"24,544,423.12","70,868.00",346.34,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
EMR,EMERSON ELECTRIC,Industrials,Equity,"24,477,919.53",0.13,"24,477,919.53","158,259.00",154.67,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WM,WASTE MANAGEMENT INC,Industrials,Equity,"24,378,827.40",0.13,"24,378,827.40","103,890.00",234.66,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"24,281,129.25",0.13,"24,281,129.25","87,705.00",276.85,United States,NASDAQ,USD,1.00,USD,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"24,256,388.08",0.13,"24,256,388.08","159,592.00",151.99,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WMB,WILLIAMS INC,Energy,Equity,"24,166,433.76",0.13,"24,166,433.76","339,798.00",71.12,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,"24,141,590.31",0.13,"24,141,590.31","188,857.00",127.83,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ITW,ILLINOIS TOOL INC,Industrials,Equity,"24,132,045.27",0.13,"24,132,045.27","80,961.00",298.07,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
